_id|f001|f008|f040|f072|f190|f490|f550|f590|f680|fLDR
000056551|2683955|840206---a-z--ba-n----------------------|"aSzZuIDS BS/BE A164"|amu|"qVioline 2MGB"|"qGeige 2MGB"||"qAltes Instrument 2MGB##qMelodieinstrument 2MGB##qStreichinstrument 2MGB##qSaiteninstrument 2MGB##qStreichorchester 2MGB##qVioline elektrisch verstärkt 2MGB##qFidel 2MGB##qKamānğe 2MGB"||00456nz---2200169n--4500
000057705|2683955|840206---a-z--ba-n----------------------|"aSzZuIDS BS/BE A164"|amu|"qAkkordeon 2MGB"|"qHandorgel 2MGB##qKnopfgriff-Akkordeon 2MGB##qPiano-Akkordeon 2MGB"||"qAkkordinstrument 2MGB##qTasteninstrument 2MGB##qBajan 2MGB##qBandoneón 2MGB##qSchwyzerorgel 2MGB"||00456nz---2200169n--4500
000057932||030630---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qKonzertina 2MGB"|||"qHandharmonika 2MGB##qMundharmonika 2MGB##qTasteninstrument 2MGB"|"iKleine Handharmonika"|-----nz---22-----n--4500
000057933||030630---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qSchwyzerorgel 2MGB"|"qSchwyzerörgeli 2MGB"||"qAkkordinstrument 2MGB##qTasteninstrument 2MGB##qAkkordeon 2MGB##qBajan 2MGB##qBandoneón 2MGB"|iHandharmonika|-----nz---22-----n--4500
000057934||030630---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qBajan 2MGB"|||"qAkkordinstrument 2MGB##qTasteninstrument 2MGB##qAkkordeon 2MGB##qBandoneón 2MGB##qSchwyzerorgel 2MGB"|"iAkkordeon mit Knopftastatur"|-----nz---22-----n--4500
000057936||030630---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qHandharmonika 2MGB"|||"qTasteninstrument 2MGB##qKonzertina 2MGB##qMundharmonika 2MGB"||-----nz---22-----n--4500
000058497|2683955|840206---a-z--ba-n----------------------|"aSzZuIDS BS/BE A164"|amu|"qViola 2MGB"|"qBratsche 2MGB##qViola da braccio 2MGB##qVioletta 2MGB"||"qAltes Instrument 2MGB##qSaiteninstrument 2MGB##qStreichinstrument 2MGB##qStreichorchester 2MGB##qViola elektrisch verstärkt 2MGB##qViola d'amore 2MGB##qViolotta 2MGB"||00456nz---2200169n--4500
000058509|000055618|020815---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qLira organizzata 2MGB"|"qOrgelleier 2MGB##qVielle organisée 2MGB"||"qSaiteninstrument 2MGB##qStreichinstrument 2MGB"|"iArt von Drehleier"|-----nz---22-----n--4500
000058584||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qAlt 2MGB"|||"qAlt elektrisch verstärkt 2MGB##qFrauensingstimme 2MGB##qFrauenstimme 2MGB##qSingstimme 2MGB##qSingstimme mittel 2MGB##qSingstimme tief 2MGB"|iFrauenstimme|-----nz---22-----n--4500
000058586||030904---a-z--ba-n|"aSzZuIDS BS/BE A164"|amu|"qAltes Instrument 2MGB"|||"qAkkordinstrument 2MGB##qBlasinstrument 2MGB##qBlechblasinstrument 2MGB##qHolzblasinstrument 2MGB##qMelodieinstrument 2MGB##qSaiteninstrument 2MGB##qStreichinstrument 2MGB##qTasteninstrument 2MGB##qZupfinstrument 2MGB##qBasso continuo 2MGB"|"iunspezifisches Instrument bis 1650"|-----nz---22-----n--4500
