_id|fLKR|fOWN
000347622||B400
000445354|004554567|A145
000446641|006317334|A125
000447147|000084400|A140
000447701|006326499|A342
000448152|006330850|A342
000448276|006332413|A342
000448828|000000241|A302
000449182|002832768|A296
000449640|006138770|A370
000451219|006360204|A125
000451440|001080552|A296
000451605|006353750|A125
000453823|001140200|A228
000454052|000145924|A145
000454158|000057171|A296
000454558|005999942|A252
000454790|002675292|A300
000454860|006387015|A140
000454901|000019670|A145
000455343|006391655|A125
000455915|006395068|A125
000456127|000384479|B405
000457174|003270622|B550
000457487|006408411|A100
000457574|000351074|A258
000458108|000028118|A125
000458139|006410648|B583
000458150|006410700|A125
000458277|005969926|A100
000458501|000017301|A125
000458661|001093068|B418
000458842|002631138|A310
000458998|006418342|B440
000459009|000052418|B465
000459033|003646187|PUBLIC
000459052|001084544|B425
000459147|000082558|B440
000459209|000013825|A296
000459429|006423313|A125
000459547|003950070|B500
000459770|004546171|B440
000459771|004546171|B440
000459811|004109173|A145
000459867|003335091|B418
000460457|002778911|A302
000460495|006433748|A332
000460636|006436158|A284
000460734|000080800|B557
000461247|000892443|A310
000461415|006445918|B405
000461471|006446721|A125
000463782|000795649|B440
000464072|006458158|A168
000464170|000010848|B400
000464414|000654063|B498
000464471|003609761|A150
000464973|000067277|A150
000465030|002713071|B415
000465075|006471344|B429
000465159|000358869|B467
000465249|000018633|B540
000465518|000064520|B550
000465550|001017367|B500
000465786|006479943|A332
000465986|006478888|A332
000465998|005565304|B465
000466385|006464711|A150
000466505|006486073|A150
000466565|000172118|PUBLIC
000466595|000682781|A332
000466622|002060898|A258
000466717|000021130|B464
000466777|006464936|A164
000466831|001035993|A125
000466957|006487425|A150
000467102|006496305|A150
000467141|006496958|A150
000467236|003860376|PUBLIC
000467304|006057109|B418
000467381|001051891|PUBLIC
000467511|006501363|B465
000468738|006503852|A125
000469049|006506804|A150
000469138|006451239|B420
000469574|006493965|A150
000469975|003680825|A296
000470272|006513133|A164
000470327|004892391|A310
000470353|000566144|B410
000470538||A150
000470615||A150
000470616||A150
000470817||A150
000470850||A150
000470850||A150
000470850||A150
000470850||A150
000470850||A150
000470863||A150
000470886||A150
000470900||A150
000470931||A150
000471007||A150
000471033||A150
000471041||A150
000471095||A150
000471095||A150
000471148||A150
000471172||A150
000471174||A150
000471420|002619046|A150
000471476||A150
000471572|006598891|A150
000471620||A150
000471645||A150
000471647|000281948|A150
000471707||A150
000471729|006599163|A150
000471763||A150
000471835||A150
000472003||A150
000472373||A150
000472380||A150
000472485||A150
000472568||A150
000472627||A150
000472818||A150
000472835||A150
000472874||A150
